Z, Efficiency
-1149.7820401046208, 0.3752665245202559
-1139.3199651264167, 0.4051172707889126
-1114.210985178727, 0.47078891257995736
-1075.5013077593724, 0.5509594882729212
-1051.438535309503, 0.5995735607675907
-1010.6364428945074, 0.649040511727079
-977.1578029642546, 0.670362473347548
-958.3260680034873, 0.6857142857142857
-948.9102005231038, 0.6763326226012794
-936.3557105492589, 0.6788912579957356
-927.9860505666957, 0.6797441364605544
-912.2929380993897, 0.6805970149253732
-899.7384481255449, 0.681449893390192
-886.1377506538797, 0.702771855010661
-881.9529206625981, 0.6891257995735608
-874.6294681778553, 0.6959488272921109
-866.2598081952921, 0.6831556503198295
-862.0749782040104, 0.6874200426439233
-855.7977332170881, 0.6771855010660981
-845.335658238884, 0.681449893390192
-838.0122057541412, 0.6933901918976546
-832.7811682650392, 0.6788912579957356
-828.5963382737576, 0.684861407249467
-820.2266782911945, 0.6925373134328359
-807.6721883173495, 0.6840085287846482
-799.3025283347864, 0.6831556503198295
-791.9790758500436, 0.6942430703624733
-787.794245858762, 0.6712153518123668
-781.5170008718396, 0.6865671641791045
-772.101133391456, 0.6737739872068231
-772.101133391456, 0.6737739872068231
-763.7314734088927, 0.6976545842217485
-757.4542284219704, 0.7181236673773987
-751.176983435048, 0.7343283582089553
-746.9921534437664, 0.7215351812366738
-740.7149084568439, 0.6968017057569297
-732.3452484742808, 0.7130063965884862
-720.8369659982563, 0.7036247334754797
-711.4210985178727, 0.699360341151386
-700.9590235396687, 0.7113006396588486
-693.6355710549259, 0.6968017057569297
-684.2197035745423, 0.7053304904051173
-669.5727986050567, 0.7223880597014927
-653.8796861377507, 0.7121535181236675
-641.3251961639058, 0.71727078891258
-630.8631211857019, 0.7249466950959489
-614.1238012205754, 0.71727078891258
-599.4768962510898, 0.7275053304904051
-592.153443766347, 0.7181236673773987
-579.5989537925022, 0.749680170575693
-575.4141238012206, 0.731769722814499
-569.1368788142981, 0.7420042643923241
-563.9058413251962, 0.7257995735607676
-557.6285963382737, 0.7402985074626867
-549.2589363557106, 0.7309168443496803
-546.1203138622494, 0.7488272921108743
-539.8430688753269, 0.7283582089552239
-536.7044463818658, 0.7394456289978679
-526.2423714036618, 0.7539445628997868
-517.8727114210985, 0.7437100213219616
-506.3644289450741, 0.7471215351812368
-490.6713164777681, 0.7565031982942432
-479.16303400174365, 0.7539445628997868
-474.97820401046215, 0.7368869936034116
-469.7471665213601, 0.7539445628997868
-459.2850915431561, 0.7445628997867804
-454.05405405405406, 0.7565031982942432
-442.54577157802964, 0.7769722814498934
-435.22231909328684, 0.7522388059701492
-421.62162162162167, 0.7582089552238807
-414.29816913687887, 0.7641791044776121
-396.51264167393197, 0.753091684434968
-381.86573670444636, 0.7565031982942432
-371.4036617262424, 0.7522388059701492
-355.71054925893634, 0.7735607675906184
-352.57192676547515, 0.7573560767590619
-340.0174367916304, 0.7411513859275054
-330.60156931124675, 0.7684434968017058
-321.1857018308632, 0.7513859275053305
-296.0767218831735, 0.7522388059701492
-273.06015693112465, 0.7454157782515992
-256.3208369659983, 0.7428571428571429
-233.30427201394946, 0.7411513859275054
-222.84219703574547, 0.7343283582089553
-208.19529206625987, 0.7249466950959489
-192.50217959895383, 0.7394456289978679
-173.6704446381866, 0.731769722814499
-148.5614646904969, 0.731769722814499
-127.63731473408893, 0.7215351812366738
-111.9442022667829, 0.7206823027718551
-101.48212728857902, 0.7283582089552239
-80.55797733217082, 0.735181236673774
-59.63382737576285, 0.7377398720682303
-48.12554489973854, 0.7377398720682303
-28.247602441150775, 0.7377398720682303
-4.184829991281731, 0.7411513859275054
-2.0924149956408655, 0.749680170575693
