z_mm__Bz_on_axis,Total_potential_T__Bz_on_axis
-2.599479999999999563e+03,1.182586781931920482e-03
-2.598960000000000036e+03,1.184096499662139071e-03
-2.598440000000000055e+03,1.185624953752138820e-03
-2.597919999999999618e+03,1.187134671482357844e-03
-2.597400000000000091e+03,1.188663462592576834e-03
-2.596880000000000109e+03,1.190192252302795265e-03
-2.596360000000000127e+03,1.191721071433013987e-03
-2.595840000000000146e+03,1.193268585123013993e-03
-2.595319999999999709e+03,1.194797375183232835e-03
-2.594800000000000182e+03,1.196326193963451797e-03
-2.594279999999999745e+03,1.197874084023670431e-03
-2.593759999999999764e+03,1.199421665783670160e-03
-2.593240000000000236e+03,1.200969555843889227e-03
-2.592719999999999800e+03,1.202498374624108623e-03
-2.592200000000000273e+03,1.204046264684327039e-03
-2.591680000000000291e+03,1.205613215394545860e-03
-2.591159999999999854e+03,1.207160769484545834e-03
-2.590640000000000327e+03,1.208708687214764656e-03
-2.590119999999999891e+03,1.210275678324983445e-03
-2.589599999999999909e+03,1.211842696055202059e-03
-2.589079999999999927e+03,1.213409687165421065e-03
-2.588559999999999945e+03,1.214976367875421088e-03
-2.588039999999999964e+03,1.216543329915639998e-03
-2.587519999999999982e+03,1.218110349045858735e-03
-2.587000000000000000e+03,1.219677299756077556e-03
-2.586480000000000473e+03,1.221263418886296302e-03
-2.585960000000000036e+03,1.222830071576296159e-03
-2.585439999999999600e+03,1.224416190706515122e-03
-2.584920000000000073e+03,1.226002280416733578e-03
-2.584400000000000091e+03,1.227588342456952713e-03
-2.583879999999999654e+03,1.229174489257171213e-03
-2.583360000000000127e+03,1.230760214277171107e-03
-2.582840000000000146e+03,1.232346361077390042e-03
-2.582320000000000164e+03,1.233951523117608751e-03
-2.581800000000000182e+03,1.235537630917827841e-03
-2.581279999999999745e+03,1.237142792958046767e-03
-2.580760000000000218e+03,1.238747702738046685e-03
-2.580239999999999782e+03,1.240352864778265394e-03
-2.579719999999999800e+03,1.241958082508484024e-03
-2.579200000000000273e+03,1.243563273618703046e-03
-2.578679999999999836e+03,1.245187591348921683e-03
-2.578159999999999854e+03,1.246792445438921681e-03
-2.577640000000000327e+03,1.248416763169140535e-03
-2.577119999999999891e+03,1.250021954279359341e-03
-2.576600000000000364e+03,1.251646243989578029e-03
-2.576079999999999927e+03,1.253270563119796791e-03
-2.575559999999999945e+03,1.254913952830015488e-03
-2.575039999999999964e+03,1.256537905870015346e-03
-2.574519999999999982e+03,1.258162185650234721e-03
-2.574000000000000000e+03,1.259805575710452961e-03
-2.573480000000000018e+03,1.261429894490671746e-03
-2.572960000000000036e+03,1.263073284550890853e-03
-2.572440000000000509e+03,1.264716366310890839e-03
-2.571920000000000073e+03,1.266359756371109729e-03
-2.571399999999999636e+03,1.268003175151328522e-03
-2.570880000000000109e+03,1.269646565211546979e-03
-2.570360000000000127e+03,1.271309054921766117e-03
-2.569839999999999691e+03,1.272952474051984887e-03
-2.569320000000000164e+03,1.274614626741984785e-03
-2.568800000000000182e+03,1.276277492892203538e-03
-2.568279999999999745e+03,1.277939982602422243e-03
-2.567760000000000218e+03,1.279602501732641021e-03
-2.567239999999999782e+03,1.281264991442859942e-03
-2.566720000000000255e+03,1.282946582553078562e-03
-2.566199999999999818e+03,1.284608763263078842e-03
-2.565679999999999836e+03,1.286290354373297463e-03
-2.565160000000000309e+03,1.287971972103516124e-03
-2.564639999999999873e+03,1.289653534143734865e-03
-2.564119999999999891e+03,1.291335180943954056e-03
-2.563600000000000364e+03,1.293016742984173014e-03
-2.563079999999999927e+03,1.294698052764172748e-03
-2.562559999999999491e+03,1.296379614804391489e-03
-2.562039999999999964e+03,1.298080361604610471e-03
-2.561519999999999982e+03,1.299781023644829220e-03
-2.561000000000000000e+03,1.301481770445047769e-03
-2.560480000000000018e+03,1.303182432485266735e-03
