z_mm__Bz_on_axis,Total_potential_T__Bz_on_axis
-2.599479999999999563e+03,1.181987699177442950e-03
-2.598960000000000036e+03,1.183496898967591367e-03
-2.598440000000000055e+03,1.185025100197591033e-03
-2.597919999999999618e+03,1.186534299987739884e-03
-2.597400000000000091e+03,1.188062573157888701e-03
-2.596880000000000109e+03,1.189590844928036743e-03
-2.596360000000000127e+03,1.191119146118185508e-03
-2.595840000000000146e+03,1.192666406948185214e-03
-2.595319999999999709e+03,1.194194679068333884e-03
-2.594800000000000182e+03,1.195722979908482456e-03
-2.594279999999999745e+03,1.197270352028630917e-03
-2.593759999999999764e+03,1.198817680928630780e-03
-2.593240000000000236e+03,1.200365053048779457e-03
-2.592719999999999800e+03,1.201893353888928463e-03
-2.592200000000000273e+03,1.203440726009076924e-03
-2.591680000000000291e+03,1.205007158779225354e-03
-2.591159999999999854e+03,1.206554460009225246e-03
-2.590640000000000327e+03,1.208101859799373679e-03
-2.590119999999999891e+03,1.209668332969522295e-03
-2.589599999999999909e+03,1.211234832759670952e-03
-2.589079999999999927e+03,1.212801305929819568e-03
-2.588559999999999945e+03,1.214367733779819292e-03
-2.588039999999999964e+03,1.215934177879968029e-03
-2.587519999999999982e+03,1.217500679070116594e-03
-2.587000000000000000e+03,1.219067111840265024e-03
-2.586480000000000473e+03,1.220652713030413597e-03
-2.585960000000000036e+03,1.222219112860413589e-03
-2.585439999999999600e+03,1.223804714050561945e-03
-2.584920000000000073e+03,1.225390285820710445e-03
-2.584400000000000091e+03,1.226975829920859190e-03
-2.583879999999999654e+03,1.228561458781007301e-03
-2.583360000000000127e+03,1.230146930941007329e-03
-2.582840000000000146e+03,1.231732559801156307e-03
-2.582320000000000164e+03,1.233337203901304843e-03
-2.581800000000000182e+03,1.234922793761453327e-03
-2.581279999999999745e+03,1.236527437861602080e-03
-2.580760000000000218e+03,1.238132094781601916e-03
-2.580239999999999782e+03,1.239736738881750452e-03
-2.579719999999999800e+03,1.241341438671898691e-03
-2.579200000000000273e+03,1.242946111842047757e-03
-2.578679999999999836e+03,1.244569911632196222e-03
-2.578159999999999854e+03,1.246174512862196137e-03
-2.577640000000000327e+03,1.247798312652344385e-03
-2.577119999999999891e+03,1.249402985822492800e-03
-2.576600000000000364e+03,1.251026757592641533e-03
-2.576079999999999927e+03,1.252650558782789905e-03
-2.575559999999999945e+03,1.254293430552938429e-03
-2.575039999999999964e+03,1.255917130732938421e-03
-2.574519999999999982e+03,1.257540892573087189e-03
-2.574000000000000000e+03,1.259183764693235473e-03
-2.573480000000000018e+03,1.260807565533384085e-03
-2.572960000000000036e+03,1.262450437653532586e-03
-2.572440000000000509e+03,1.264093266553532489e-03
-2.571920000000000073e+03,1.265736138673681207e-03
-2.571399999999999636e+03,1.267379039513829827e-03
-2.570880000000000109e+03,1.269021911633977893e-03
