z_mm__Bz_on_axis,Total_potential_T__Bz_on_axis
-2.599479999999999563e+03,1.182008520557683347e-03
-2.598960000000000036e+03,1.183517739990643230e-03
-2.598440000000000055e+03,1.185045941220642897e-03
-2.597919999999999618e+03,1.186555160653603213e-03
-2.597400000000000091e+03,1.188083453466563496e-03
-2.596880000000000109e+03,1.189611744879523220e-03
-2.596360000000000127e+03,1.191140065712483235e-03
-2.595840000000000146e+03,1.192687326542483158e-03
-2.595319999999999709e+03,1.194215618305443294e-03
-2.594800000000000182e+03,1.195743938788403548e-03
-2.594279999999999745e+03,1.197291330551363692e-03
-2.593759999999999764e+03,1.198838659451363555e-03
-2.593240000000000236e+03,1.200386051214323482e-03
-2.592719999999999800e+03,1.201914371697284170e-03
-2.592200000000000273e+03,1.203461763460244097e-03
-2.591680000000000291e+03,1.205028215873203993e-03
-2.591159999999999854e+03,1.206575517103203885e-03
-2.590640000000000327e+03,1.208122936536164000e-03
-2.590119999999999891e+03,1.209689429349124082e-03
-2.589599999999999909e+03,1.211255948782084205e-03
-2.589079999999999927e+03,1.212822441595044504e-03
-2.588559999999999945e+03,1.214388869445044228e-03
-2.588039999999999964e+03,1.215955333188004431e-03
-2.587519999999999982e+03,1.217521854020964679e-03
-2.587000000000000000e+03,1.219088306433924575e-03
-2.586480000000000473e+03,1.220673927266884831e-03
-2.585960000000000036e+03,1.222240327096884823e-03
-2.585439999999999600e+03,1.223825947929844645e-03
-2.584920000000000073e+03,1.225411539342804827e-03
-2.584400000000000091e+03,1.226997103085764821e-03
-2.583879999999999654e+03,1.228582751588724615e-03
-2.583360000000000127e+03,1.230168223748724643e-03
-2.582840000000000146e+03,1.231753872251685087e-03
-2.582320000000000164e+03,1.233358535994645089e-03
-2.581800000000000182e+03,1.234944145497605473e-03
-2.581279999999999745e+03,1.236548809240565474e-03
-2.580760000000000218e+03,1.238153466160565310e-03
-2.580239999999999782e+03,1.239758129903525312e-03
-2.579719999999999800e+03,1.241362849336485451e-03
-2.579200000000000273e+03,1.242967542149445766e-03
-2.578679999999999836e+03,1.244591361582405697e-03
-2.578159999999999854e+03,1.246195962812405829e-03
-2.577640000000000327e+03,1.247819782245365760e-03
-2.577119999999999891e+03,1.249424475058325641e-03
-2.576600000000000364e+03,1.251048266471285622e-03
-2.576079999999999927e+03,1.252672087304245677e-03
-2.575559999999999945e+03,1.254314978717205884e-03
-2.575039999999999964e+03,1.255938678897205877e-03
-2.574519999999999982e+03,1.257562460380166327e-03
-2.574000000000000000e+03,1.259205352143126077e-03
-2.573480000000000018e+03,1.260829172626086155e-03
-2.572960000000000036e+03,1.262472064389046338e-03
-2.572440000000000509e+03,1.264114893289046242e-03
-2.571920000000000073e+03,1.265757785052006425e-03
-2.571399999999999636e+03,1.267400705534966511e-03
-2.570880000000000109e+03,1.269043597297926261e-03
-2.570360000000000127e+03,1.270705588710886475e-03
-2.569839999999999691e+03,1.272348509543846755e-03
-2.569320000000000164e+03,1.274010409373846570e-03
-2.568800000000000182e+03,1.275672524366806750e-03
-2.568279999999999745e+03,1.277334515779766965e-03
-2.567760000000000218e+03,1.278996536612726819e-03
-2.567239999999999782e+03,1.280658528025687033e-03
-2.566720000000000255e+03,1.282339620838646947e-03
-2.566199999999999818e+03,1.284001548688646927e-03
-2.565679999999999836e+03,1.285682641501606840e-03
-2.565160000000000309e+03,1.287363760934567012e-03
-2.564639999999999873e+03,1.289044824677527045e-03
-2.564119999999999891e+03,1.290725973180487530e-03
-2.563600000000000364e+03,1.292407036923447564e-03
-2.563079999999999927e+03,1.294088093843447432e-03
-2.562559999999999491e+03,1.295769157586407682e-03
-2.562039999999999964e+03,1.297469406089367741e-03
-2.561519999999999982e+03,1.299169569832327783e-03
-2.561000000000000000e+03,1.300869818335287842e-03
-2.560480000000000018e+03,1.302569982078247883e-03
-2.559960000000000036e+03,1.304270138998248193e-03
-2.559440000000000055e+03,1.305970396901208128e-03
-2.558920000000000073e+03,1.307670616334168090e-03
-2.558400000000000091e+03,1.309389909147128019e-03
-2.557880000000000109e+03,1.311109228580088206e-03
-2.557359999999999673e+03,1.312809421393048561e-03
-2.556840000000000146e+03,1.314528649243048566e-03
-2.556320000000000164e+03,1.316247969726008250e-03
-2.555800000000000182e+03,1.317986361488968257e-03
-2.555279999999999745e+03,1.319705681971928592e-03
-2.554760000000000218e+03,1.321444073734888598e-03
-2.554240000000000236e+03,1.323163394217848716e-03
-2.553720000000000255e+03,1.324901785980808940e-03
-2.553199999999999818e+03,1.326640114880808666e-03
-2.552679999999999836e+03,1.328378600803768782e-03
-2.552159999999999854e+03,1.330117021286728908e-03
-2.551639999999999873e+03,1.331874513049688706e-03
-2.551119999999999891e+03,1.333612904462649169e-03
-2.550599999999999909e+03,1.335370425295609280e-03
-2.550079999999999927e+03,1.337108816708569093e-03
-2.549559999999999945e+03,1.338866245958569238e-03
-2.549039999999999964e+03,1.340623737371529275e-03
-2.548519999999999982e+03,1.342400358204489394e-03
-2.548000000000000000e+03,1.344157849617449215e-03
-2.547480000000000018e+03,1.345934470450409551e-03
-2.546960000000000036e+03,1.347692056023369481e-03
-2.546440000000000055e+03,1.349468676856329383e-03
-2.545920000000000073e+03,1.351245215686329524e-03
-2.545400000000000091e+03,1.353021836519289860e-03
-2.544880000000000109e+03,1.354794927932250230e-03
-2.544360000000000127e+03,1.356577176435210062e-03
-2.543839999999999691e+03,1.358340240178170085e-03
-2.543319999999999709e+03,1.360122459611130255e-03
-2.542800000000000182e+03,1.361885052424090421e-03
-2.542280000000000200e+03,1.363667180274090191e-03
-2.541759999999999764e+03,1.365449467247049995e-03
-2.541239999999999782e+03,1.367231686680010381e-03
-2.540720000000000255e+03,1.369032479492970347e-03
-2.540200000000000273e+03,1.370833798925930524e-03
-2.539679999999999836e+03,1.372615491738890699e-03
-2.539159999999999854e+03,1.374416811171850659e-03
-2.538639999999999873e+03,1.376217642984810686e-03
-2.538119999999999891e+03,1.378018870834810897e-03
-2.537599999999999909e+03,1.379819663647771080e-03
-2.537079999999999927e+03,1.381640177240731158e-03
-2.536559999999999945e+03,1.383440997723691095e-03
-2.536039999999999964e+03,1.385261389486651092e-03
-2.535519999999999982e+03,1.387081309969611254e-03
-2.535000000000000000e+03,1.388901701732571034e-03
-2.534480000000000018e+03,1.390721622215531196e-03
-2.533960000000000036e+03,1.392541513978491456e-03
-2.533440000000000055e+03,1.394380981878491242e-03
-2.532920000000000073e+03,1.396200967801451611e-03
-2.532400000000000091e+03,1.398039988284411348e-03
-2.531880000000000109e+03,1.399878980047371399e-03
-2.531360000000000127e+03,1.401718000530331786e-03
-2.530840000000000146e+03,1.403557492293292007e-03
-2.530320000000000164e+03,1.405396512776251961e-03
-2.529799999999999727e+03,1.407254632209211992e-03
-2.529279999999999745e+03,1.409112734952171729e-03
-2.528760000000000218e+03,1.410970886032172000e-03
-2.528240000000000236e+03,1.412809849775132319e-03
-2.527719999999999800e+03,1.414687098278092237e-03
-2.527199999999999818e+03,1.416545162021052347e-03
-2.526680000000000291e+03,1.418403310524012258e-03
-2.526160000000000309e+03,1.420280474266972376e-03
-2.525639999999999873e+03,1.422157761769932572e-03
-2.525119999999999891e+03,1.424015947692892740e-03
-2.524599999999999909e+03,1.425912268175852718e-03
-2.524079999999999927e+03,1.427789396025852574e-03
-2.523559999999999945e+03,1.429666588838812572e-03
-2.523039999999999964e+03,1.431562908271772835e-03
-2.522519999999999982e+03,1.433439601084733096e-03
-2.522000000000000000e+03,1.435335959517692987e-03
-2.521480000000000018e+03,1.437232346490653319e-03
-2.520960000000000036e+03,1.439128665923613366e-03
-2.520440000000000055e+03,1.441024458736573418e-03
-2.519920000000000073e+03,1.442939878169533473e-03
-2.519400000000000091e+03,1.444855298652493675e-03
-2.518880000000000109e+03,1.446770229415453432e-03
-2.518360000000000127e+03,1.448685652475453561e-03
-2.517840000000000146e+03,1.450600544238413690e-03
-2.517320000000000164e+03,1.452515964721374109e-03
-2.516800000000000182e+03,1.454430856484333805e-03
-2.516279999999999745e+03,1.456365415967293860e-03
