z_mm__Bz_on_axis,Total_potential_T__Bz_on_axis
-2.599479999999999563e+03,1.182465730456633930e-03
-2.598960000000000036e+03,1.183975344410366417e-03
-2.598440000000000055e+03,1.185503742700366129e-03
-2.597919999999999618e+03,1.187013356654099050e-03
-2.597400000000000091e+03,1.188542043987831937e-03
-2.596880000000000109e+03,1.190070729921564267e-03
-2.596360000000000127e+03,1.191599445275297103e-03
-2.595840000000000146e+03,1.193146903165296854e-03
-2.595319999999999709e+03,1.194675589449029594e-03
-2.594800000000000182e+03,1.196204304452762454e-03
-2.594279999999999745e+03,1.197752090736494985e-03
-2.593759999999999764e+03,1.199299616696494894e-03
-2.593240000000000236e+03,1.200847402980227642e-03
-2.592719999999999800e+03,1.202376117983960718e-03
-2.592200000000000273e+03,1.203923904267693249e-03
-2.591680000000000291e+03,1.205490751201425750e-03
-2.591159999999999854e+03,1.207038249491425687e-03
-2.590640000000000327e+03,1.208586063445158407e-03
-2.590119999999999891e+03,1.210152950778891094e-03
-2.589599999999999909e+03,1.211719864732623822e-03
-2.589079999999999927e+03,1.213286752066356725e-03
-2.588559999999999945e+03,1.214853376976356494e-03
-2.588039999999999964e+03,1.216420235240089302e-03
-2.587519999999999982e+03,1.217987150593822154e-03
-2.587000000000000000e+03,1.219553997527554655e-03
-2.586480000000000473e+03,1.221140012881287516e-03
-2.585960000000000036e+03,1.222706609771287336e-03
-2.585439999999999600e+03,1.224292625125019763e-03
-2.584920000000000073e+03,1.225878611058752550e-03
-2.584400000000000091e+03,1.227464569322485365e-03
-2.583879999999999654e+03,1.229050612346217547e-03
-2.583360000000000127e+03,1.230636281566217837e-03
-2.582840000000000146e+03,1.232222324589950669e-03
-2.582320000000000164e+03,1.233827382853683059e-03
-2.581800000000000182e+03,1.235413386877416047e-03
-2.581279999999999745e+03,1.237018445141148870e-03
-2.580760000000000218e+03,1.238623299121148534e-03
-2.580239999999999782e+03,1.240228357384881358e-03
-2.579719999999999800e+03,1.241833471338613885e-03
-2.579200000000000273e+03,1.243438558672346804e-03
-2.578679999999999836e+03,1.245062772626079556e-03
-2.578159999999999854e+03,1.246667570916079517e-03
-2.577640000000000327e+03,1.248291784869812052e-03
-2.577119999999999891e+03,1.249896872203544538e-03
-2.576600000000000364e+03,1.251521058137277124e-03
-2.576079999999999927e+03,1.253145273491010001e-03
-2.575559999999999945e+03,1.254788559424742378e-03
-2.575039999999999964e+03,1.256412456664742416e-03
-2.574519999999999982e+03,1.258036632668475471e-03
-2.574000000000000000e+03,1.259679918952207826e-03
-2.573480000000000018e+03,1.261304133955940508e-03
-2.572960000000000036e+03,1.262947420239673513e-03
-2.572440000000000509e+03,1.264590446199673462e-03
-2.571920000000000073e+03,1.266233732483405816e-03
-2.571399999999999636e+03,1.267877047487138940e-03
-2.570880000000000109e+03,1.269520333770871078e-03
-2.570360000000000127e+03,1.271182719704604114e-03
-2.569839999999999691e+03,1.272826035058336998e-03
-2.569320000000000164e+03,1.274488131948336642e-03
-2.568800000000000182e+03,1.276150838522069472e-03
-2.568279999999999745e+03,1.277813224455801857e-03
-2.567760000000000218e+03,1.279475639809534750e-03
-2.567239999999999782e+03,1.281138025743267352e-03
-2.566720000000000255e+03,1.282819513077000087e-03
-2.566199999999999818e+03,1.284481637987000113e-03
-2.565679999999999836e+03,1.286163125320732631e-03
-2.565160000000000309e+03,1.287844639274465190e-03
-2.564639999999999873e+03,1.289526097538198045e-03
-2.564119999999999891e+03,1.291207640561930917e-03
-2.563600000000000364e+03,1.292889098825663555e-03
-2.563079999999999927e+03,1.294570352805663469e-03
-2.562559999999999491e+03,1.296251811069396107e-03
-2.562039999999999964e+03,1.297952454093128987e-03
-2.561519999999999982e+03,1.299653012356861634e-03
-2.561000000000000000e+03,1.301353655380594080e-03
-2.560480000000000018e+03,1.303054213644326944e-03
-2.559960000000000036e+03,1.304754567624327082e-03
-2.559440000000000055e+03,1.306455417108059666e-03
-2.558920000000000073e+03,1.308156031061792450e-03
-2.558400000000000091e+03,1.309875718395524767e-03
-2.557880000000000109e+03,1.311595432349257776e-03
-2.557359999999999673e+03,1.313296019682990302e-03
-2.556840000000000146e+03,1.315015444592990352e-03
-2.556320000000000164e+03,1.316735159596722857e-03
-2.555800000000000182e+03,1.318473945880455469e-03
-2.555279999999999745e+03,1.320193660884188625e-03
-2.554760000000000218e+03,1.321932447167921019e-03
-2.554240000000000236e+03,1.323652162171653525e-03
-2.553720000000000255e+03,1.325390948455386570e-03
-2.553199999999999818e+03,1.327129474415386125e-03
-2.552679999999999836e+03,1.328868551919118891e-03
-2.552159999999999854e+03,1.330607366922851838e-03
-2.551639999999999873e+03,1.332365253206584024e-03
-2.551119999999999891e+03,1.334104039140317092e-03
-2.550599999999999909e+03,1.335861954494049590e-03
-2.550079999999999927e+03,1.337600740427782224e-03
-2.549559999999999945e+03,1.339358366737782415e-03
-2.549039999999999964e+03,1.341116252671514840e-03
-2.548519999999999982e+03,1.342893268025247564e-03
-2.548000000000000000e+03,1.344651153958980206e-03
-2.547480000000000018e+03,1.346428169312713146e-03
-2.546960000000000036e+03,1.348186346466445727e-03
-2.546440000000000055e+03,1.349963361820178016e-03
-2.545920000000000073e+03,1.351740097710178203e-03
-2.545400000000000091e+03,1.353517113063911143e-03
-2.544880000000000109e+03,1.355290598997643901e-03
-2.544360000000000127e+03,1.357073242021376554e-03
-2.543839999999999691e+03,1.358836700285108966e-03
-2.543319999999999709e+03,1.360619314238841956e-03
-2.542800000000000182e+03,1.362382301572574511e-03
-2.542280000000000200e+03,1.364164626482574543e-03
-2.541759999999999764e+03,1.365947505036306997e-03
-2.541239999999999782e+03,1.367730118990039771e-03
-2.540720000000000255e+03,1.369531306323772341e-03
-2.540200000000000273e+03,1.371333020277505340e-03
-2.539679999999999836e+03,1.373115107611237685e-03
-2.539159999999999854e+03,1.374916821564970467e-03
-2.538639999999999873e+03,1.376718047898703098e-03
-2.538119999999999891e+03,1.378519472808703138e-03
-2.537599999999999909e+03,1.380320660142436142e-03
-2.537079999999999927e+03,1.382141765316168653e-03
-2.536559999999999945e+03,1.383942980319901412e-03
-2.536039999999999964e+03,1.385763766603634014e-03
-2.535519999999999982e+03,1.387584081607366781e-03
-2.535000000000000000e+03,1.389404867891099165e-03
-2.534480000000000018e+03,1.391225182894831498e-03
-2.533960000000000036e+03,1.393045469178564363e-03
-2.533440000000000055e+03,1.394885134138564194e-03
-2.532920000000000073e+03,1.396705711642297213e-03
-2.532400000000000091e+03,1.398545126646029771e-03
-2.531880000000000109e+03,1.400384512929762426e-03
-2.531360000000000127e+03,1.402223927933495418e-03
-2.530840000000000146e+03,1.404063814217228028e-03
-2.530320000000000164e+03,1.405903229220960586e-03
-2.529799999999999727e+03,1.407761743174693438e-03
-2.529279999999999745e+03,1.409620240438425780e-03
-2.528760000000000218e+03,1.411478785638426141e-03
-2.528240000000000236e+03,1.413318143902158848e-03
-2.527719999999999800e+03,1.415195786925891154e-03
-2.527199999999999818e+03,1.417054245189624086e-03
-2.526680000000000291e+03,1.418912788213356601e-03
-2.526160000000000309e+03,1.420790346477089107e-03
-2.525639999999999873e+03,1.422668028500822125e-03
-2.525119999999999891e+03,1.424526806004554726e-03
-2.524599999999999909e+03,1.426423521008287308e-03
-2.524079999999999927e+03,1.428300845918287210e-03
-2.523559999999999945e+03,1.430178433252020029e-03
-2.523039999999999964e+03,1.432075147205752680e-03
-2.522519999999999982e+03,1.433952234539485546e-03
-2.522000000000000000e+03,1.435848987493218041e-03
-2.521480000000000018e+03,1.437745966046950589e-03
-2.520960000000000036e+03,1.439642680000683675e-03
-2.520440000000000055e+03,1.441538867334416114e-03
-2.519920000000000073e+03,1.443454681288148991e-03
-2.519400000000000091e+03,1.445370496291881581e-03
-2.518880000000000109e+03,1.447285821575614159e-03
-2.518360000000000127e+03,1.449201638755614379e-03
-2.517840000000000146e+03,1.451116925039346896e-03
-2.517320000000000164e+03,1.453032740043079920e-03
-2.516800000000000182e+03,1.454948026326812003e-03
-2.516279999999999745e+03,1.456882980330544879e-03
-2.515759999999999764e+03,1.458817366614277404e-03
-2.515239999999999782e+03,1.460733500858009881e-03
-2.514720000000000255e+03,1.462667886791742646e-03
-2.514199999999999818e+03,1.464602802145475438e-03
-2.513679999999999836e+03,1.466556327079207838e-03
-2.513159999999999854e+03,1.468491242432940630e-03
-2.512640000000000327e+03,1.470444728366673186e-03
-2.512119999999999891e+03,1.472398245896673879e-03
-2.511599999999999909e+03,1.474351731830406218e-03
-2.511079999999999927e+03,1.476305813854138834e-03
-2.510559999999999945e+03,1.478278372117871426e-03
-2.510039999999999964e+03,1.480231915141604028e-03
-2.509519999999999982e+03,1.482204473405337054e-03
-2.509000000000000000e+03,1.484177907649069121e-03
-2.508480000000000018e+03,1.486150504912802425e-03
-2.507960000000000036e+03,1.488123147936534817e-03
-2.507440000000000055e+03,1.490095761890267764e-03
-2.506920000000000073e+03,1.492068349224000019e-03
-2.506399999999999636e+03,1.494060393397732755e-03
-2.505880000000000109e+03,1.496074080731465581e-03
-2.505360000000000127e+03,1.498065794685198319e-03
-2.504840000000000146e+03,1.500057192975198057e-03
-2.504319999999999709e+03,1.502048945928931073e-03
-2.503800000000000182e+03,1.504060052152663904e-03
-2.503280000000000200e+03,1.506051767506396549e-03
-2.502760000000000218e+03,1.508062553440129129e-03
-2.502239999999999782e+03,1.510072907793861673e-03
-2.501719999999999800e+03,1.512083721747594202e-03
-2.501199999999999818e+03,1.514094800301327278e-03
-2.500680000000000291e+03,1.516124714255059599e-03
-2.500159999999999854e+03,1.518154168258792390e-03
-2.499639999999999873e+03,1.520184054542524955e-03
-2.499119999999999891e+03,1.522213969546257857e-03
-2.498600000000000364e+03,1.524243647049990623e-03
-2.498079999999999927e+03,1.526273601053722935e-03
-2.497559999999999945e+03,1.528322587337455725e-03
-2.497039999999999964e+03,1.530352002341188455e-03
-2.496519999999999982e+03,1.532401016294921000e-03
-2.496000000000000000e+03,1.534449861868653715e-03
-2.495480000000000018e+03,1.536498558758653569e-03
-2.494960000000000036e+03,1.538566174112386727e-03
-2.494440000000000055e+03,1.540615199046119167e-03
-2.493920000000000073e+03,1.542683133289851800e-03
-2.493400000000000091e+03,1.544751191553584216e-03
-2.492880000000000109e+03,1.546818834577317128e-03
-2.492359999999999673e+03,1.548886431841049651e-03
-2.491840000000000146e+03,1.550973674864782525e-03
-2.491320000000000164e+03,1.553041552368515307e-03
-2.490800000000000182e+03,1.555128306372247689e-03
-2.490279999999999745e+03,1.557215549395980347e-03
-2.489760000000000218e+03,1.559302207659713033e-03
-2.489240000000000236e+03,1.561389280903445736e-03
-2.488720000000000255e+03,1.563495039167178430e-03
-2.488199999999999818e+03,1.565581782190911351e-03
-2.487679999999999836e+03,1.567687635144644027e-03
-2.487159999999999854e+03,1.569794213698376276e-03
-2.486639999999999873e+03,1.571900027652109108e-03
-2.486119999999999891e+03,1.574024953985841968e-03
-2.485599999999999909e+03,1.576130767939574583e-03
-2.485079999999999927e+03,1.578255974163307075e-03
-2.484559999999999945e+03,1.580380899447039571e-03
-2.484039999999999964e+03,1.582505814450772775e-03
-2.483519999999999982e+03,1.584630200734505039e-03
