z_mm__Bz_on_axis,Total_potential_T__Bz_on_axis
-2.599479999999999563e+03,1.181917698194330252e-03
-2.598960000000000036e+03,1.183426839581890565e-03
-2.598440000000000055e+03,1.184954999931890325e-03
-2.597919999999999618e+03,1.186464141319451505e-03
-2.597400000000000091e+03,1.187992356087012435e-03
-2.596880000000000109e+03,1.189520569454572589e-03
-2.596360000000000127e+03,1.191048812242133468e-03
-2.595840000000000146e+03,1.192596032192133268e-03
-2.595319999999999709e+03,1.194124245909694050e-03
-2.594800000000000182e+03,1.195652488347254952e-03
-2.594279999999999745e+03,1.197199802064815525e-03
-2.593759999999999764e+03,1.198747090084815265e-03
-2.593240000000000236e+03,1.200294403802376056e-03
-2.592719999999999800e+03,1.201822646239936957e-03
-2.592200000000000273e+03,1.203369959957497747e-03
-2.591680000000000291e+03,1.204936334325058291e-03
-2.591159999999999854e+03,1.206483594675058276e-03
-2.590640000000000327e+03,1.208030936062619038e-03
-2.590119999999999891e+03,1.209597350830179550e-03
-2.589599999999999909e+03,1.211163792217740537e-03
-2.589079999999999927e+03,1.212730206985301483e-03
-2.588559999999999945e+03,1.214296593955301084e-03
-2.588039999999999964e+03,1.215862979652861933e-03
-2.587519999999999982e+03,1.217429422440422611e-03
-2.587000000000000000e+03,1.218995796807983154e-03
-2.586480000000000473e+03,1.220581339595544056e-03
-2.585960000000000036e+03,1.222147698545543925e-03
-2.585439999999999600e+03,1.223733241333104394e-03
-2.584920000000000073e+03,1.225318754700665223e-03
-2.584400000000000091e+03,1.226904240398226081e-03
-2.583879999999999654e+03,1.228489810855786521e-03
-2.583360000000000127e+03,1.230075242135786426e-03
-2.582840000000000146e+03,1.231660812593347301e-03
-2.582320000000000164e+03,1.233265398290907949e-03
-2.581800000000000182e+03,1.234850929748468763e-03
-2.581279999999999745e+03,1.236455515446029411e-03
-2.580760000000000218e+03,1.238060131486029558e-03
-2.580239999999999782e+03,1.239664717183590207e-03
-2.579719999999999800e+03,1.241269358571150776e-03
-2.579200000000000273e+03,1.242873973338711737e-03
-2.578679999999999836e+03,1.244497714726272315e-03
-2.578159999999999854e+03,1.246102275076272541e-03
-2.577640000000000327e+03,1.247726016463832901e-03
-2.577119999999999891e+03,1.249330631231393429e-03
-2.576600000000000364e+03,1.250954344598954058e-03
-2.576079999999999927e+03,1.252578087386514759e-03
-2.575559999999999945e+03,1.254220900754075179e-03
-2.575039999999999964e+03,1.255844560054075482e-03
-2.574519999999999982e+03,1.257468263491636363e-03
-2.574000000000000000e+03,1.259111077209196759e-03
-2.573480000000000018e+03,1.260734819646757484e-03
-2.572960000000000036e+03,1.262377633364318097e-03
-2.572440000000000509e+03,1.264020421384318311e-03
-2.571920000000000073e+03,1.265663235101879142e-03
-2.571399999999999636e+03,1.267306077539439874e-03
-2.570880000000000109e+03,1.268948891257000054e-03
-2.570360000000000127e+03,1.270610804624561132e-03
-2.569839999999999691e+03,1.272253647412121842e-03
-2.569320000000000164e+03,1.273915506362121967e-03
-2.568800000000000182e+03,1.275577502429682455e-03
-2.568279999999999745e+03,1.277239415797243099e-03
-2.567760000000000218e+03,1.278901358584803600e-03
-2.567239999999999782e+03,1.280563271952364461e-03
-2.566720000000000255e+03,1.282244286719925238e-03
-2.566199999999999818e+03,1.283906173689925096e-03
-2.565679999999999836e+03,1.285587188457485873e-03
-2.565160000000000309e+03,1.287268229845046257e-03
-2.564639999999999873e+03,1.288949215542607154e-03
-2.564119999999999891e+03,1.290630286000168285e-03
-2.563600000000000364e+03,1.292311271697728749e-03
-2.563079999999999927e+03,1.293992287737728711e-03
-2.562559999999999491e+03,1.295673273435289392e-03
-2.562039999999999964e+03,1.297373443892850097e-03
-2.561519999999999982e+03,1.299073529590411002e-03
-2.561000000000000000e+03,1.300773700047971491e-03
-2.560480000000000018e+03,1.302473785745532180e-03
-2.559960000000000036e+03,1.304173901785532150e-03
-2.559440000000000055e+03,1.305874040763093042e-03
-2.558920000000000073e+03,1.307574182150653868e-03
-2.558400000000000091e+03,1.309293396918214227e-03
-2.557880000000000109e+03,1.311012638305775061e-03
-2.557359999999999673e+03,1.312712753073335629e-03
-2.556840000000000146e+03,1.314431940043335727e-03
-2.556320000000000164e+03,1.316151182480896058e-03
-2.555800000000000182e+03,1.317889496198456712e-03
-2.555279999999999745e+03,1.319608738636017693e-03
-2.554760000000000218e+03,1.321347052353578347e-03
-2.554240000000000236e+03,1.323066294791138894e-03
-2.553720000000000255e+03,1.324804608508700198e-03
-2.553199999999999818e+03,1.326542896528699802e-03
-2.552679999999999836e+03,1.328281263526260225e-03
-2.552159999999999854e+03,1.330019605963821214e-03
-2.551639999999999873e+03,1.331777019681381442e-03
-2.551119999999999891e+03,1.333515333048942552e-03
-2.550599999999999909e+03,1.335272775836503093e-03
-2.550079999999999927e+03,1.337011089204063769e-03
-2.549559999999999945e+03,1.338768477574063791e-03
-2.549039999999999964e+03,1.340525890941624259e-03
-2.548519999999999982e+03,1.342302433729185241e-03
-2.548000000000000000e+03,1.344059847096745709e-03
-2.547480000000000018e+03,1.345836389884306691e-03
-2.546960000000000036e+03,1.347593856531867362e-03
-2.546440000000000055e+03,1.349370399319427694e-03
-2.545920000000000073e+03,1.351146897269427929e-03
-2.545400000000000091e+03,1.352923440056988912e-03
-2.544880000000000109e+03,1.354696453424549711e-03
-2.544360000000000127e+03,1.356478623882110190e-03
-2.543839999999999691e+03,1.358241609579670644e-03
-2.543319999999999709e+03,1.360023750967231677e-03
-2.542800000000000182e+03,1.361786265734792273e-03
-2.542280000000000200e+03,1.363568352704792137e-03
-2.541759999999999764e+03,1.365350520752352682e-03
-2.541239999999999782e+03,1.367132662139913498e-03
-2.540720000000000255e+03,1.368933376907474110e-03
-2.540200000000000273e+03,1.370734618295035151e-03
-2.539679999999999836e+03,1.372516233062595539e-03
-2.539159999999999854e+03,1.374317474450156146e-03
-2.538639999999999873e+03,1.376118228217716819e-03
-2.538119999999999891e+03,1.377919415187717125e-03
-2.537599999999999909e+03,1.379720129955277737e-03
-2.537079999999999927e+03,1.381540524622838556e-03
-2.536559999999999945e+03,1.383341267060399140e-03
-2.536039999999999964e+03,1.385161580777959783e-03
-2.535519999999999982e+03,1.386981423215520592e-03
-2.535000000000000000e+03,1.388801736933081019e-03
-2.534480000000000018e+03,1.390621579370641611e-03
-2.533960000000000036e+03,1.392441393088202301e-03
-2.533440000000000055e+03,1.394280820108202180e-03
-2.532920000000000073e+03,1.396100687105763290e-03
-2.532400000000000091e+03,1.397939629543323891e-03
-2.531880000000000109e+03,1.399778543260884371e-03
-2.531360000000000127e+03,1.401617485698445189e-03
-2.530840000000000146e+03,1.403456899416005840e-03
-2.530320000000000164e+03,1.405295841853566657e-03
-2.529799999999999727e+03,1.407153883241127551e-03
-2.529279999999999745e+03,1.409011907938687719e-03
-2.528760000000000218e+03,1.410869977258687961e-03
-2.528240000000000236e+03,1.412708862956248927e-03
-2.527719999999999800e+03,1.414586033413809492e-03
-2.527199999999999818e+03,1.416444019111370248e-03
-2.526680000000000291e+03,1.418302089568930589e-03
-2.526160000000000309e+03,1.420179175266491354e-03
-2.525639999999999873e+03,1.422056384724052196e-03
-2.525119999999999891e+03,1.423914451721612889e-03
-2.524599999999999909e+03,1.425810694159173513e-03
-2.524079999999999927e+03,1.427687781129173463e-03
-2.523559999999999945e+03,1.429564895896733891e-03
-2.523039999999999964e+03,1.431461137284295018e-03
-2.522519999999999982e+03,1.433337752051855709e-03
-2.522000000000000000e+03,1.435234032439416246e-03
-2.521480000000000018e+03,1.437130300486976885e-03
-2.520960000000000036e+03,1.439026541874537796e-03
-2.520440000000000055e+03,1.440922256642098494e-03
-2.519920000000000073e+03,1.442837598029659413e-03
-2.519400000000000091e+03,1.444752940467219828e-03
-2.518880000000000109e+03,1.446667793184780448e-03
-2.518360000000000127e+03,1.448583134484780549e-03
-2.517840000000000146e+03,1.450497948202341325e-03
-2.517320000000000164e+03,1.452413290639902174e-03
-2.516800000000000182e+03,1.454328104357462516e-03
-2.516279999999999745e+03,1.456262585795023001e-03
-2.515759999999999764e+03,1.458196499512583785e-03
-2.515239999999999782e+03,1.460111923250144352e-03
-2.514720000000000255e+03,1.462045836617705159e-03
-2.514199999999999818e+03,1.463980279405265776e-03
-2.513679999999999836e+03,1.465933331772826436e-03
-2.513159999999999854e+03,1.467867774560387270e-03
-2.512640000000000327e+03,1.469820787927947868e-03
-2.512119999999999891e+03,1.471773829577948224e-03
-2.511599999999999909e+03,1.473726842945508823e-03
-2.511079999999999927e+03,1.475680452403069264e-03
-2.510559999999999945e+03,1.477652538100630115e-03
-2.510039999999999964e+03,1.479605608558190758e-03
-2.509519999999999982e+03,1.481577694255751610e-03
-2.509000000000000000e+03,1.483550417993311768e-03
-2.508480000000000018e+03,1.485522542690872897e-03
-2.507960000000000036e+03,1.487494713148433548e-03
-2.507440000000000055e+03,1.489466854535994320e-03
-2.506920000000000073e+03,1.491438969303554617e-03
-2.506399999999999636e+03,1.493430302971115444e-03
-2.505880000000000109e+03,1.495443517738676313e-03
-2.505360000000000127e+03,1.497434759126236876e-03
-2.504840000000000146e+03,1.499425919476236662e-03
-2.504319999999999709e+03,1.501417199863797720e-03
-2.503800000000000182e+03,1.503427595581358642e-03
-2.503280000000000200e+03,1.505418838368919330e-03
-2.502760000000000218e+03,1.507429151736479952e-03
-2.502239999999999782e+03,1.509439033524040321e-03
-2.501719999999999800e+03,1.511449374911600892e-03
-2.501199999999999818e+03,1.513459742959162059e-03
-2.500680000000000291e+03,1.515489184346722638e-03
-2.500159999999999854e+03,1.517518165784283038e-03
-2.499639999999999873e+03,1.519547579501843862e-03
-2.499119999999999891e+03,1.521577021939404589e-03
-2.498600000000000364e+03,1.523605988936965446e-03
-2.498079999999999927e+03,1.525635470374525800e-03
-2.497559999999999945e+03,1.527683984092086632e-03
-2.497039999999999964e+03,1.529712926529647405e-03
-2.496519999999999982e+03,1.531761467917207992e-03
-2.496000000000000000e+03,1.533809602984768797e-03
-2.495480000000000018e+03,1.535858061934768700e-03
-2.494960000000000036e+03,1.537925204722329466e-03
-2.494440000000000055e+03,1.539973757089890165e-03
-2.493920000000000073e+03,1.542040980827450673e-03
-2.493400000000000091e+03,1.544108566525011347e-03
-2.492880000000000109e+03,1.546175736982572085e-03
-2.492359999999999673e+03,1.548242861680132650e-03
-2.491840000000000146e+03,1.550329632137693566e-03
-2.491320000000000164e+03,1.552396799135254439e-03
-2.490800000000000182e+03,1.554483080572815080e-03
-2.490279999999999745e+03,1.556569851030375345e-03
-2.489760000000000218e+03,1.558656036727936074e-03
-2.489240000000000236e+03,1.560742399465496867e-03
-2.488720000000000255e+03,1.562847685163057604e-03
-2.488199999999999818e+03,1.564933955620618350e-03
-2.487679999999999836e+03,1.567039336008179068e-03
-2.487159999999999854e+03,1.569145204055739625e-03
-2.486639999999999873e+03,1.571250545443300282e-03
-2.486119999999999891e+03,1.573374999210861401e-03
-2.485599999999999909e+03,1.575480340598421842e-03
-2.485079999999999927e+03,1.577604836315982424e-03
-2.484559999999999945e+03,1.579729289033542962e-03
-2.484039999999999964e+03,1.581853731471103992e-03
-2.483519999999999982e+03,1.583977645188664298e-03
-2.483000000000000000e+03,1.586102207926225324e-03
-2.482480000000000018e+03,1.588245721293785398e-03
-2.481960000000000036e+03,1.590389264081346413e-03
-2.481440000000000055e+03,1.592532845518907295e-03
-2.480920000000000073e+03,1.594676412516467766e-03
-2.480400000000000091e+03,1.596819454954028850e-03
-2.479880000000000109e+03,1.598982135341589375e-03
-2.479360000000000127e+03,1.601125678129149956e-03
-2.478839999999999691e+03,1.603287844776710288e-03
-2.478319999999999709e+03,1.605450472146709986e-03
-2.477800000000000182e+03,1.607632185514270944e-03
-2.477280000000000200e+03,1.609794394971832045e-03
-2.476759999999999764e+03,1.611976133949392367e-03
-2.476239999999999782e+03,1.614138304406953842e-03
-2.475720000000000255e+03,1.616320086194513632e-03
-2.475200000000000273e+03,1.618501352842075056e-03
-2.474679999999999836e+03,1.620702223299635199e-03
-2.474159999999999854e+03,1.622883447997196076e-03
-2.473639999999999873e+03,1.625084318454757303e-03
-2.473119999999999891e+03,1.627284724102317495e-03
-2.472599999999999909e+03,1.629485066889878146e-03
-2.472079999999999927e+03,1.631685908277438844e-03
-2.471559999999999945e+03,1.633905362044999615e-03
-2.471039999999999964e+03,1.636105756712560562e-03
-2.470519999999999982e+03,1.638325738150120609e-03
-2.470000000000000000e+03,1.640545180937682136e-03
-2.469480000000000018e+03,1.642764675605242223e-03
-2.468960000000000036e+03,1.645003229372802786e-03
-2.468440000000000055e+03,1.647222670760363538e-03
-2.467920000000000073e+03,1.649461252197924289e-03
-2.467400000000000091e+03,1.651699819195484847e-03
-2.466880000000000109e+03,1.653938900633045335e-03
-2.466360000000000127e+03,1.656196542020606103e-03
-2.465840000000000146e+03,1.658435138088167190e-03
-2.465320000000000164e+03,1.660692844873287938e-03
-2.464799999999999727e+03,1.662949987660848877e-03
-2.464279999999999745e+03,1.665207722378409623e-03
-2.463760000000000218e+03,1.667465363765970173e-03
-2.463240000000000236e+03,1.669742145553531351e-03
-2.462719999999999800e+03,1.671999758921091954e-03
-2.462199999999999818e+03,1.674276582658651945e-03
-2.461680000000000291e+03,1.676553307356212861e-03
-2.461160000000000309e+03,1.678848677813774221e-03
-2.460639999999999873e+03,1.681125512881334952e-03
-2.460119999999999891e+03,1.683421326248894703e-03
-2.459599999999999909e+03,1.685716735706456124e-03
-2.459079999999999927e+03,1.687993474684016965e-03
-2.458559999999999945e+03,1.690308484141577914e-03
-2.458039999999999964e+03,1.692622925529138535e-03
-2.457519999999999982e+03,1.694918832576698675e-03
-2.457000000000000000e+03,1.697233273964259296e-03
-2.456480000000000018e+03,1.699548227731820758e-03
-2.455960000000000036e+03,1.701862751469381246e-03
-2.455440000000000055e+03,1.704196831856942323e-03
-2.454920000000000073e+03,1.706511246624502253e-03
-2.454400000000000091e+03,1.708845380292062883e-03
-2.453880000000000109e+03,1.711178922729623443e-03
-2.453360000000000127e+03,1.713512475447184161e-03
-2.452840000000000146e+03,1.715865699184745052e-03
-2.452320000000000164e+03,1.718199280622305456e-03
-2.451800000000000182e+03,1.720551894339866121e-03
-2.451279999999999745e+03,1.722905129057427124e-03
-2.450759999999999764e+03,1.725276870444987769e-03
-2.450239999999999782e+03,1.727629552232547942e-03
-2.449720000000000255e+03,1.730001318880109275e-03
-2.449199999999999818e+03,1.732373100667669889e-03
-2.448679999999999836e+03,1.734744843105230248e-03
-2.448159999999999854e+03,1.737116731190352327e-03
-2.447640000000000327e+03,1.739488473977912012e-03
-2.447119999999999891e+03,1.741879326345472778e-03
-2.446599999999999909e+03,1.744270250083033947e-03
-2.446079999999999927e+03,1.746661102800594906e-03
-2.445559999999999945e+03,1.749051945238155490e-03
-2.445039999999999964e+03,1.751462007975715862e-03
-2.444519999999999982e+03,1.753871893673277036e-03
-2.444000000000000000e+03,1.756281903130837638e-03
-2.443480000000000018e+03,1.758691897798398069e-03
-2.442960000000000036e+03,1.761101351565959013e-03
-2.442440000000000055e+03,1.763511385233519505e-03
-2.441920000000000073e+03,1.765940427671080538e-03
-2.441399999999999636e+03,1.768369509458640743e-03
-2.440880000000000109e+03,1.770798104126201662e-03
-2.440360000000000127e+03,1.773246257893762792e-03
-2.439840000000000146e+03,1.775675299281323028e-03
-2.439319999999999709e+03,1.778123062018883245e-03
-2.438800000000000182e+03,1.780571270204005111e-03
-2.438280000000000200e+03,1.783018964871566038e-03
-2.437760000000000218e+03,1.785486246309125847e-03
-2.437239999999999782e+03,1.787933860026686599e-03
-2.436719999999999800e+03,1.790401222764247211e-03
-2.436199999999999818e+03,1.792868004201807934e-03
-2.435680000000000291e+03,1.795334717919369561e-03
-2.435159999999999854e+03,1.797821180656929531e-03
-2.434639999999999873e+03,1.800306994024490322e-03
-2.434119999999999891e+03,1.802792929092051450e-03
-2.433600000000000364e+03,1.805279242459611761e-03
-2.433079999999999927e+03,1.807765151917173092e-03
-2.432559999999999945e+03,1.810270186984733361e-03
-2.432039999999999964e+03,1.812775154769855112e-03
-2.431519999999999982e+03,1.815280217507415353e-03
-2.431000000000000000e+03,1.817785670224975926e-03
-2.430480000000000018e+03,1.820290612662536821e-03
-2.429960000000000036e+03,1.822814775400097504e-03
-2.429440000000000055e+03,1.825338761097658122e-03
-2.428920000000000073e+03,1.827862923835218804e-03
-2.428400000000000091e+03,1.830387004222780055e-03
-2.427880000000000109e+03,1.832930118990340126e-03
-2.427359999999999673e+03,1.835454281727900809e-03
-2.426840000000000146e+03,1.837996962115461029e-03
-2.426320000000000164e+03,1.840540184580583124e-03
-2.425800000000000182e+03,1.843102464968143740e-03
-2.425279999999999745e+03,1.845664827705704438e-03
-2.424760000000000218e+03,1.848227070143264273e-03
-2.424240000000000236e+03,1.850789322860825785e-03
-2.423720000000000255e+03,1.853351185598386096e-03
-2.423199999999999818e+03,1.855932498965946927e-03
-2.422679999999999836e+03,1.858494834033507870e-03
-2.422159999999999854e+03,1.861075715471068688e-03
-2.421639999999999873e+03,1.863657056858629250e-03
-2.421119999999999891e+03,1.866257146343749691e-03
-2.420599999999999909e+03,1.868838498711310799e-03
-2.420079999999999927e+03,1.871438522448871933e-03
-2.419559999999999945e+03,1.874039004236432472e-03
-2.419039999999999964e+03,1.876658109883993630e-03
-2.418519999999999982e+03,1.879258580341553646e-03
-2.418000000000000000e+03,1.881877715409114877e-03
-2.417480000000000018e+03,1.884496767776674964e-03
-2.416960000000000036e+03,1.887116338234236289e-03
-2.416440000000000055e+03,1.889754598649357300e-03
-2.415920000000000073e+03,1.892392780086917924e-03
-2.415400000000000091e+03,1.895031542824478438e-03
-2.414880000000000109e+03,1.897669684212039288e-03
-2.414360000000000127e+03,1.900307891259600361e-03
-2.413839999999999691e+03,1.902965171647160413e-03
-2.413319999999999709e+03,1.905622495384721353e-03
-2.412800000000000182e+03,1.908279749152282448e-03
-2.412280000000000200e+03,1.910937137237403872e-03
-2.411759999999999764e+03,1.913613518674964513e-03
-2.411239999999999782e+03,1.916270761462524844e-03
-2.410720000000000255e+03,1.918947195130085541e-03
-2.410200000000000273e+03,1.921642676567646190e-03
-2.409679999999999836e+03,1.924319110235206669e-03
-2.409159999999999854e+03,1.927014553022767668e-03
-2.408639999999999873e+03,1.929710142157889038e-03
-2.408119999999999891e+03,1.932405622545449540e-03
-2.407599999999999909e+03,1.935119757613010857e-03
-2.407079999999999927e+03,1.937815200050570794e-03
-2.406559999999999945e+03,1.940529833718132157e-03
-2.406039999999999964e+03,1.943263515505692582e-03
-2.405519999999999982e+03,1.945977621153253175e-03
-2.405000000000000000e+03,1.948711346028374897e-03
-2.404480000000000018e+03,1.951425508765935101e-03
-2.403960000000000036e+03,1.954178233463495923e-03
-2.403440000000000055e+03,1.956911996201056957e-03
-2.402920000000000073e+03,1.959664266658616913e-03
-2.402400000000000091e+03,1.962397944636178147e-03
-2.401880000000000109e+03,1.965150254093738814e-03
-2.401360000000000127e+03,1.967921742178860550e-03
-2.400840000000000146e+03,1.970674551636420954e-03
-2.400320000000000164e+03,1.973445919683981201e-03
-2.399799999999999727e+03,1.976217300071541564e-03
-2.399279999999999745e+03,1.979008362809103055e-03
-2.398760000000000218e+03,1.981779716576663811e-03
-2.398240000000000236e+03,1.984570304661784686e-03
-2.397719999999999800e+03,1.987360814119345370e-03
-2.397199999999999818e+03,1.990170909836906209e-03
-2.396680000000000291e+03,1.992961362554467042e-03
-2.396160000000000309e+03,1.995771025292027937e-03
-2.395639999999999873e+03,1.998580577659588367e-03
-2.395119999999999891e+03,2.001390294814709998e-03
-2.394599999999999909e+03,2.004218937602270448e-03
-2.394079999999999927e+03,2.007028543249831081e-03
-2.393559999999999945e+03,2.009857252707391347e-03
-2.393039999999999964e+03,2.012705087774952720e-03
-2.392519999999999982e+03,2.015533740142513158e-03
-2.392000000000000000e+03,2.018381657297635239e-03
-2.391480000000000018e+03,2.021228966755195776e-03
-2.390960000000000036e+03,2.024076705732755742e-03
-2.390440000000000055e+03,2.026943615190317325e-03
-2.389920000000000073e+03,2.029810577927877811e-03
-2.389400000000000091e+03,2.032676958315438476e-03
-2.388880000000000109e+03,2.035543919780559343e-03
-2.388360000000000127e+03,2.038429929238119633e-03
-2.387840000000000146e+03,2.041315462905680944e-03
-2.387320000000000164e+03,2.044201469953241517e-03
-2.386800000000000182e+03,2.047086911340801913e-03
-2.386279999999999745e+03,2.049992128495923150e-03
-2.385759999999999764e+03,2.052896709933484630e-03
-2.385239999999999782e+03,2.055801815931044847e-03
-2.384720000000000255e+03,2.058706425388604974e-03
-2.384199999999999818e+03,2.061630188126165747e-03
-2.383679999999999836e+03,2.064554394911287828e-03
-2.383159999999999854e+03,2.067478129978848628e-03
-2.382640000000000327e+03,2.070401892716408968e-03
-2.382119999999999891e+03,2.073345145083969887e-03
-2.381599999999999909e+03,2.076287968821530390e-03
-2.381079999999999927e+03,2.079230805026651731e-03
-2.380559999999999945e+03,2.082173610674212250e-03
-2.380039999999999964e+03,2.085135520131773269e-03
-2.379519999999999982e+03,2.088097482869333190e-03
-2.379000000000000000e+03,2.091059335586894791e-03
-2.378480000000000018e+03,2.094040424722015941e-03
-2.377960000000000036e+03,2.097021487459576738e-03
-2.377440000000000055e+03,2.100002467847137452e-03
-2.376920000000000073e+03,2.102983474894698761e-03
-2.376399999999999636e+03,2.105983584352258929e-03
-2.375880000000000109e+03,2.108964672437380148e-03
-2.375360000000000127e+03,2.111983935174940961e-03
-2.374840000000000146e+03,2.114983988942501641e-03
-2.374319999999999709e+03,2.118002722610061971e-03
-2.373800000000000182e+03,2.121021986485182882e-03
-2.373280000000000200e+03,2.124041221202744613e-03
-2.372760000000000218e+03,2.127059873920304767e-03
-2.372239999999999782e+03,2.130098236657865154e-03
-2.371719999999999800e+03,2.133136599395425541e-03
-2.371199999999999818e+03,2.136174406180547328e-03
-2.370680000000000291e+03,2.139231841248108185e-03
-2.370159999999999854e+03,2.142269650705668632e-03
-2.369639999999999873e+03,2.145346156353229207e-03
-2.369119999999999891e+03,2.148403173508351034e-03
-2.368600000000000364e+03,2.151479682965911668e-03
-2.368079999999999927e+03,2.154555718033472362e-03
-2.367559999999999945e+03,2.157631723681033200e-03
-2.367039999999999964e+03,2.160727387556154577e-03
-2.366519999999999982e+03,2.163803450293715677e-03
-2.366000000000000000e+03,2.166898503011275862e-03
-2.365480000000000018e+03,2.170012737728836596e-03
-2.364960000000000036e+03,2.173107954883958005e-03
-2.364440000000000055e+03,2.176222635271518342e-03
-2.363920000000000073e+03,2.179336842319079537e-03
-2.363400000000000091e+03,2.182470151776640024e-03
-2.362880000000000109e+03,2.185603539861761136e-03
-2.362359999999999673e+03,2.188736902599322260e-03
-2.361840000000000146e+03,2.191870184036882364e-03
-2.361320000000000164e+03,2.195003490034443203e-03
-2.360800000000000182e+03,2.198156007189565071e-03
-2.360279999999999745e+03,2.201307916647125829e-03
-2.359760000000000218e+03,2.204479451364685719e-03
-2.359240000000000236e+03,2.207650957362246574e-03
-2.358720000000000255e+03,2.210822521237368245e-03
-2.358199999999999818e+03,2.213994083974928518e-03
-2.357679999999999836e+03,2.217165089622489659e-03
-2.357159999999999854e+03,2.220355738080050448e-03
-2.356639999999999873e+03,2.223546427565171058e-03
-2.356119999999999891e+03,2.226736479932732004e-03
-2.355599999999999909e+03,2.229946242670293160e-03
-2.355079999999999927e+03,2.233155505407853712e-03
-2.354559999999999945e+03,2.236384340212975528e-03
-2.354039999999999964e+03,2.239593547260536159e-03
-2.353519999999999982e+03,2.242822409998096022e-03
-2.353000000000000000e+03,2.246069873873218423e-03
-2.352480000000000018e+03,2.249298207540778669e-03
-2.351960000000000036e+03,2.252546181258339303e-03
-2.351440000000000055e+03,2.255793563045900129e-03
-2.350920000000000073e+03,2.259041051131021119e-03
-2.350400000000000091e+03,2.262307613868582128e-03
-2.349880000000000109e+03,2.265574595306143590e-03
-2.349360000000000127e+03,2.268841212461264901e-03
-2.348839999999999691e+03,2.272126818458825200e-03
-2.348319999999999709e+03,2.275393420196385619e-03
-2.347800000000000182e+03,2.278679029653946000e-03
-2.347280000000000200e+03,2.281983789719067499e-03
-2.346759999999999764e+03,2.285288552456628090e-03
-2.346239999999999782e+03,2.288593234244188940e-03
-2.345720000000000255e+03,2.291898051399310701e-03
-2.345200000000000273e+03,2.295221857046870172e-03
-2.344679999999999836e+03,2.298545705504431279e-03
-2.344159999999999854e+03,2.301869122659553745e-03
-2.343639999999999873e+03,2.305192928657113626e-03
-2.343119999999999891e+03,2.308535863374674285e-03
-2.342599999999999909e+03,2.311878272832234953e-03
-2.342079999999999927e+03,2.315240428987356148e-03
