z_mm__Bz_on_axis,Total_potential_T__Bz_on_axis
-2.599479999999999563e+03,1.182013149751933497e-03
-2.598960000000000036e+03,1.183522373552057779e-03
-2.598440000000000055e+03,1.185050574782057446e-03
-2.597919999999999618e+03,1.186559798582182161e-03
-2.597400000000000091e+03,1.188088095762306843e-03
-2.596880000000000109e+03,1.189616391542430750e-03
-2.596360000000000127e+03,1.191144716742555381e-03
-2.595840000000000146e+03,1.192691977572555087e-03
-2.595319999999999709e+03,1.194220273702679622e-03
-2.594800000000000182e+03,1.195748598552804276e-03
-2.594279999999999745e+03,1.197295994682928601e-03
-2.593759999999999764e+03,1.198843323582928465e-03
-2.593240000000000236e+03,1.200390719713053007e-03
-2.592719999999999800e+03,1.201919044563178095e-03
-2.592200000000000273e+03,1.203466440693302421e-03
-2.591680000000000291e+03,1.205032897473426717e-03
-2.591159999999999854e+03,1.206580198703426608e-03
-2.590640000000000327e+03,1.208127622503551123e-03
-2.590119999999999891e+03,1.209694119683675604e-03
-2.589599999999999909e+03,1.211260643483800126e-03
-2.589079999999999927e+03,1.212827140663924825e-03
-2.588559999999999945e+03,1.214393568513924548e-03
-2.588039999999999964e+03,1.215960036624049150e-03
-2.587519999999999982e+03,1.217526561824173580e-03
-2.587000000000000000e+03,1.219093018604298093e-03
-2.586480000000000473e+03,1.220678643804422531e-03
-2.585960000000000036e+03,1.222245043634422523e-03
-2.585439999999999600e+03,1.223830668834546961e-03
-2.584920000000000073e+03,1.225416264614671326e-03
-2.584400000000000091e+03,1.227001832724795936e-03
-2.583879999999999654e+03,1.228587485594920129e-03
-2.583360000000000127e+03,1.230172957754920157e-03
-2.582840000000000146e+03,1.231758610625044784e-03
-2.582320000000000164e+03,1.233363278735169185e-03
-2.581800000000000182e+03,1.234948892605293750e-03
-2.581279999999999745e+03,1.236553560715418368e-03
-2.580760000000000218e+03,1.238158217635418204e-03
-2.580239999999999782e+03,1.239762885745542605e-03
-2.579719999999999800e+03,1.241367609545667144e-03
-2.579200000000000273e+03,1.242972306725791858e-03
-2.578679999999999836e+03,1.244596130525916187e-03
-2.578159999999999854e+03,1.246200731755916320e-03
-2.577640000000000327e+03,1.247824555556040649e-03
-2.577119999999999891e+03,1.249429252736164930e-03
-2.576600000000000364e+03,1.251053048516289311e-03
-2.576079999999999927e+03,1.252676873716413765e-03
-2.575559999999999945e+03,1.254319769496538154e-03
