z_mm__Bz_on_axis,Total_potential_T__Bz_on_axis
-2.599479999999999563e+03,1.182596268720156754e-03
-2.598960000000000036e+03,1.184105995400175663e-03
-2.598440000000000055e+03,1.185634449490175412e-03
-2.597919999999999618e+03,1.187144176170194755e-03
-2.597400000000000091e+03,1.188672976230213847e-03
-2.596880000000000109e+03,1.190201774890232598e-03
-2.596360000000000127e+03,1.191730602970251639e-03
-2.595840000000000146e+03,1.193278116660251428e-03
-2.595319999999999709e+03,1.194806915670270590e-03
-2.594800000000000182e+03,1.196335743400289871e-03
-2.594279999999999745e+03,1.197883642410308824e-03
-2.593759999999999764e+03,1.199431224170308553e-03
-2.593240000000000236e+03,1.200979123180327506e-03
-2.592719999999999800e+03,1.202507950910347003e-03
-2.592200000000000273e+03,1.204055849920365956e-03
-2.591680000000000291e+03,1.205622809580384879e-03
-2.591159999999999854e+03,1.207170363670384853e-03
-2.590640000000000327e+03,1.208718290350403778e-03
-2.590119999999999891e+03,1.210285290410422886e-03
-2.589599999999999909e+03,1.211852317090441819e-03
-2.589079999999999927e+03,1.213419317150461144e-03
-2.588559999999999945e+03,1.214985997860460951e-03
-2.588039999999999964e+03,1.216552968850480180e-03
-2.587519999999999982e+03,1.218119996930499237e-03
-2.587000000000000000e+03,1.219686956590517943e-03
-2.586480000000000473e+03,1.221273084670537008e-03
-2.585960000000000036e+03,1.222839737360537082e-03
-2.585439999999999600e+03,1.224425865440555931e-03
-2.584920000000000073e+03,1.226011964100574923e-03
-2.584400000000000091e+03,1.227598035090594160e-03
-2.583879999999999654e+03,1.229184190840612980e-03
-2.583360000000000127e+03,1.230769915860612873e-03
-2.582840000000000146e+03,1.232356071610632127e-03
-2.582320000000000164e+03,1.233961242600651155e-03
-2.581800000000000182e+03,1.235547359350670348e-03
-2.581279999999999745e+03,1.237152530340689376e-03
-2.580760000000000218e+03,1.238757440120689295e-03
-2.580239999999999782e+03,1.240362611110708106e-03
-2.579719999999999800e+03,1.241967837790727055e-03
-2.579200000000000273e+03,1.243573037850746396e-03
-2.578679999999999836e+03,1.245197364530765353e-03
-2.578159999999999854e+03,1.246802218620765351e-03
-2.577640000000000327e+03,1.248426545300784091e-03
-2.577119999999999891e+03,1.250031745360803215e-03
-2.576600000000000364e+03,1.251656044020822223e-03
-2.576079999999999927e+03,1.253280372100841304e-03
-2.575559999999999945e+03,1.254923770760860103e-03
-2.575039999999999964e+03,1.256547723800860179e-03
-2.574519999999999982e+03,1.258172012530879439e-03
-2.574000000000000000e+03,1.259815411540898215e-03
-2.573480000000000018e+03,1.261439739270917102e-03
-2.572960000000000036e+03,1.263083138280936312e-03
-2.572440000000000509e+03,1.264726220040936298e-03
-2.571920000000000073e+03,1.266369619050955291e-03
-2.571399999999999636e+03,1.268013046780974403e-03
-2.570880000000000109e+03,1.269656445790993179e-03
-2.570360000000000127e+03,1.271318944451012420e-03
-2.569839999999999691e+03,1.272962372531031726e-03
-2.569320000000000164e+03,1.274624525221031406e-03
-2.568800000000000182e+03,1.276287400321050479e-03
-2.568279999999999745e+03,1.277949898981069502e-03
-2.567760000000000218e+03,1.279612427061088166e-03
-2.567239999999999782e+03,1.281274925721107407e-03
-2.566720000000000255e+03,1.282956525781126346e-03
-2.566199999999999818e+03,1.284618706491126409e-03
-2.565679999999999836e+03,1.286300306551145349e-03
-2.565160000000000309e+03,1.287981933231164330e-03
-2.564639999999999873e+03,1.289663504221183390e-03
-2.564119999999999891e+03,1.291345159971202684e-03
-2.563600000000000364e+03,1.293026730961221744e-03
-2.563079999999999927e+03,1.294708040741221478e-03
-2.562559999999999491e+03,1.296389611731240754e-03
-2.562039999999999964e+03,1.298090367481259839e-03
