#Center, Bfield 17mT well
0, -0.7476521163066217
1.0573680732559234, -0.7476521163066217
2.204724389176386, -1.4953042326132433
3.3070870128644128, -0.7476521163066217
5.534308248157015, -1.4953042326132433
6.636670871845043, -2.242956348919865
8.841396119221097, -2.990665507426556
9.966255589025343, -2.242956348919865
11.091115058829587, 0.7476521163066217
12.215974528633831, 2.243013391119934
13.31833543592252, 9.719648638586289
14.443194905726767, 16.448631769746022
15.500563837182359, 26.915875482438864
16.64792015310282, 47.10282487591806
17.772779622907063, 70.28038273462374
18.875140530195754, 105.4205455808356
19.955006307767565, 152.52337045675364
21.079865777571808, 211.58880032017788
