Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks,Classifier Output
13685,796246,0.624126,12231.321126,12231.321126,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796247,0.643190,12231.340190,12231.340190,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796248,0.667943,12231.364943,12231.364943,1, 0, 0, 1,-0.095678,-0.974947,185.351039,2,2,-0.267004
13685,796249,0.681973,12231.378973,12231.378973,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796250,0.688296,12231.385296,12231.385296,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796251,0.700104,12231.397104,12231.397104,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,0,-99.000000
13685,796252,0.704197,12231.401197,12231.401197,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796253,0.717716,12231.414716,12231.414716,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796254,0.736344,12231.433344,12231.433344,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796255,0.753985,12231.450985,12231.450985,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796256,0.775730,12231.472730,12231.472730,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796257,0.801970,12231.498970,12231.498970,1, 0, 0, 1,14.183044,-95.052985,522.045509,2,2,-0.063257
13685,796258,0.807137,12231.504137,12231.504137,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796259,0.824783,12231.521783,12231.521783,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796260,0.849687,12231.546687,12231.546687,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796261,0.859765,12231.556765,12231.556765,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796262,0.901663,12231.598663,12231.598663,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796263,0.919860,12231.616860,12231.616860,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796264,0.942221,12231.639221,12231.639221,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,0,-99.000000
13685,796265,0.974797,12231.671797,12231.671797,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796266,0.978663,12231.675663,12231.675663,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,3,-99.000000
13685,796267,0.992618,12231.689618,12231.689618,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796268,1.005095,12231.702095,12231.702095,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796269,1.014839,12231.711839,12231.711839,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796270,1.027164,12231.724164,12231.724164,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796271,1.032414,12231.729414,12231.729414,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796272,1.062583,12231.759583,12231.759583,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796273,1.126723,12231.823723,12231.823723,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796274,1.161522,12231.858522,12231.858522,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796275,1.169378,12231.866378,12231.866378,1, 0, 0, 1,-63.677801,48.225580,163.950774,2,2,-0.208499
13685,796276,1.181046,12231.878046,12231.878046,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796277,1.204108,12231.901108,12231.901108,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796278,1.214340,12231.911340,12231.911340,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796279,1.241917,12231.938917,12231.938917,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796280,1.247572,12231.944572,12231.944572,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796281,1.253844,12231.950844,12231.950844,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796282,1.281449,12231.978449,12231.978449,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796283,1.312870,12232.009870,12232.009870,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796284,1.324168,12232.021168,12232.021168,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796285,1.335258,12232.032258,12232.032258,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796286,1.348707,12232.045707,12232.045707,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796287,1.380886,12232.077886,12232.077886,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
