# x axis [0, 1000] y axis offset 1.01e4
3.058103975535232, 5.388826815642458
24.464831804281175, 5.092737430167598
45.87155963302757, 4.958659217877095
64.22018348623851, 4.908379888268157
85.62691131498468, 4.858100558659219
100.91743119266039, 4.852513966480448
125.38226299694202, 4.830167597765364
140.67278287461772, 4.785474860335196
290.5198776758409, 4.718435754189945
311.9266055045871, 4.707262569832403
330.275229357798, 4.662569832402235
348.6238532110092, 4.662569832402235
370.03058103975513, 4.662569832402235
385.32110091743107, 4.6513966480446935
403.66972477064223, 4.6458100558659225
422.01834862385294, 4.6402234636871516
535.1681957186543, 4.6178770949720676
550.4587155963302, 4.578770949720671
574.9235474006114, 4.6122905027932966
590.2140672782873, 4.567597765363129
611.6207951070335, 4.5731843575419
633.0275229357794, 4.556424581005587
648.3180428134556, 4.567597765363129
666.6666666666665, 4.567597765363129
773.7003058103974, 4.545251396648045
795.1070336391435, 4.5340782122905035
813.4556574923545, 4.545251396648045
828.7461773700306, 4.5340782122905035
850.1529051987768, 4.5340782122905035
868.5015290519873, 4.5284916201117325
889.9082568807339, 4.4893854748603355
908.2568807339449, 4.4837988826815645
