# x axis [0, 1000] y axis offset: 1.011e4
0, 9.08118811881188
15.29051987767582, 8.828712871287129
27.52293577981652, 8.734653465346534
39.755351681957194, 8.665346534653466
51.98776758409787, 8.65049504950495
64.22018348623851, 8.645544554455446
76.45259938837921, 8.625742574257426
88.68501529051989, 8.576237623762376
235.47400611620796, 8.511881188118812
247.70642201834866, 8.447524752475248
259.9388379204894, 8.393069306930693
272.17125382263, 8.299009900990098
281.34556574923545, 8.398019801980197
293.57798165137615, 8.482178217821781
305.81039755351685, 8.477227722772277
318.04281345565755, 8.511881188118812
443.42507645259934, 8.368316831683169
455.65749235474004, 8.348514851485149
467.88990825688074, 8.2
477.0642201834863, 8.303960396039603
489.2966360856269, 8.30891089108911
501.5290519877675, 8.244554455445545
516.8195718654434, 8.2
529.0519877675841, 8.204950495049506
633.0275229357798, 8.30891089108911
645.2599388379206, 8.30891089108911
657.4923547400612, 8.313861386138614
669.7247706422019, 8.30891089108911
681.9571865443426, 8.318811881188118
691.131498470948, 8.318811881188118
706.4220183486239, 8.343564356435643
718.6544342507646, 8.343564356435643
