Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks,Classifier Output
13755,2,0.200754,0.200754,0.200754,0, 0, 0, -3,-9999999.000000,-9999999.000000,-9999999.000000,0,-1,-99.000000
13755,3,0.501101,0.501101,0.501101,0, 0, 0, -3,-9999999.000000,-9999999.000000,-9999999.000000,0,-1,-99.000000
13755,4,0.901846,0.901846,0.901846,0, 0, 0, -3,-9999999.000000,-9999999.000000,-9999999.000000,0,-1,-99.000000
13755,5,1.402271,1.402271,1.402271,0, 0, 0, -3,-9999999.000000,-9999999.000000,-9999999.000000,0,-1,-99.000000
13755,6,2.003311,2.003311,2.003311,0, 0, 0, -3,-9999999.000000,-9999999.000000,-9999999.000000,0,-1,-99.000000
13755,7,2.703495,2.703495,2.703495,0, 0, 0, -3,-9999999.000000,-9999999.000000,-9999999.000000,0,-1,-99.000000
13755,8,3.503836,3.503836,3.503836,0, 0, 0, -3,-9999999.000000,-9999999.000000,-9999999.000000,0,-1,-99.000000
13755,9,4.404885,4.404885,4.404885,0, 0, 0, -3,-9999999.000000,-9999999.000000,-9999999.000000,0,-1,-99.000000
13755,10,5.405550,5.405550,5.405550,0, 0, 0, -3,-9999999.000000,-9999999.000000,-9999999.000000,0,-1,-99.000000
13755,11,5.439414,5.439414,5.439414,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13755,12,5.458015,5.458015,5.458015,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,0,-99.000000
13755,13,5.478841,5.478841,5.478841,1, 0, 0, 1,3.300864,-76.955466,753.984541,2,2,-0.148050
13755,14,5.490124,5.490124,5.490124,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,0,-99.000000
13755,15,5.495651,5.495651,5.495651,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,16,5.499838,5.499838,5.499838,1, 1, 0, 1,-41.013767,74.503975,863.783105,2,3,-0.071601
13755,17,5.518578,5.518578,5.518578,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,18,5.524976,5.524976,5.524976,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,19,5.528554,5.528554,5.528554,1, 0, 0, 1,-56.864653,89.331534,148.733945,2,2,-0.144118
13755,20,5.602377,5.602377,5.602377,1, 0, 0, 1,1.578585,62.312717,542.549379,2,2,-0.240061
13755,21,5.607789,5.607789,5.607789,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,22,5.611189,5.611189,5.611189,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13755,23,5.629470,5.629470,5.629470,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,6,-99.000000
13755,24,5.643943,5.643943,5.643943,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,25,5.652844,5.652844,5.652844,1, 0, 0, 1,-46.067755,-129.971072,760.208428,2,2,-0.193632
13755,26,5.674656,5.674656,5.674656,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13755,27,5.691072,5.691072,5.691072,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13755,28,5.718438,5.718438,5.718438,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,29,5.727630,5.727630,5.727630,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,30,5.745612,5.745612,5.745612,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13755,31,5.750705,5.750705,5.750705,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13755,32,5.765693,5.765693,5.765693,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,33,5.785705,5.785705,5.785705,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,34,5.795536,5.795536,5.795536,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,35,5.809810,5.809810,5.809810,1, 0, 0, 1,74.184317,56.066571,-925.177061,2,2,-0.176010
13755,36,5.819895,5.819895,5.819895,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,3,-99.000000
13755,37,5.861428,5.861428,5.861428,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,38,5.880523,5.880523,5.880523,1, 0, 0, 1,-2.260481,61.939077,762.726863,2,2,-0.084849
13755,39,5.898241,5.898241,5.898241,1, 0, 0, 1,-13.726325,30.834708,-641.596045,2,2,-0.179393
13755,40,5.902804,5.902804,5.902804,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13755,41,5.912356,5.912356,5.912356,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,42,5.934479,5.934479,5.934479,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,43,5.948052,5.948052,5.948052,1, 0, 0, 1,-179.074490,25.712400,-623.005849,2,2,-0.177787
13755,44,5.954685,5.954685,5.954685,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,0,-99.000000
13755,45,5.962142,5.962142,5.962142,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,46,5.969765,5.969765,5.969765,1, 0, 0, 1,104.839197,22.114410,-274.391620,2,2,-0.141721
13755,47,5.989679,5.989679,5.989679,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13755,48,6.007788,6.007788,6.007788,1, 0, 0, 1,6.502614,-42.887409,390.980782,2,2,-0.080027
13755,49,6.019298,6.019298,6.019298,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,50,6.023281,6.023281,6.023281,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13755,51,6.077735,6.077735,6.077735,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13755,52,6.092872,6.092872,6.092872,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,53,6.102556,6.102556,6.102556,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,54,6.111023,6.111023,6.111023,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,55,6.142409,6.142409,6.142409,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,56,6.180167,6.180167,6.180167,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13755,57,6.184455,6.184455,6.184455,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13755,58,6.192468,6.192468,6.192468,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,59,6.199775,6.199775,6.199775,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,60,6.208353,6.208353,6.208353,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,61,6.220689,6.220689,6.220689,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13755,62,6.226721,6.226721,6.226721,1, 0, 0, 1,-9.773013,-6.298928,416.270999,2,2,-0.129019
